N,P,K,Moisture,Temperature,Label
5,5,9,84.4,27.92,Depleted
5,5,8,84.0,28.13,Depleted
5,6,9,84.0,28.08,Depleted
3,6,10,83.6,28.36,Depleted
3,4,11,83.1,28.31,Depleted
2,3,11,83.4,28.06,Depleted
3,3,9,83.1,28.33,Depleted
2,5,11,82.9,27.96,Depleted
3,6,9,82.8,28.19,Depleted
5,5,11,82.3,28.30,Depleted
3,4,9,82.0,28.48,Depleted
3,3,12,82.2,28.31,Depleted
2,6,12,81.6,28.14,Depleted
3,3,12,81.5,27.90,Depleted
4,6,9,81.5,28.00,Depleted
2,5,8,81.5,28.27,Depleted
2,6,10,81.4,28.38,Depleted
5,4,11,80.4,27.95,Depleted
4,5,9,80.5,27.93,Depleted
4,6,11,80.1,27.97,Depleted
5,3,8,79.9,28.49,Depleted
4,5,11,48.0,28.75,Depleted
4,5,11,44.0,28.75,Depleted
4,5,11,45.0,28.75,Depleted
4,5,11,43.0,28.75,Depleted
4,5,11,43.0,28.75,Depleted
4,5,11,43.0,28.75,Depleted
4,5,11,42.0,28.75,Depleted
4,5,11,44.0,28.69,Depleted
4,5,11,43.0,28.69,Depleted
4,5,11,43.0,28.69,Depleted
4,5,11,45.0,28.69,Depleted
4,5,11,59.0,28.62,Depleted
4,5,11,43.0,28.62,Depleted
4,5,11,43.0,28.62,Depleted
3,5,11,43.0,28.62,Depleted
3,5,11,42.0,28.62,Depleted
3,5,11,43.0,28.56,Depleted
3,5,10,42.0,28.56,Depleted
3,5,10,43.0,28.56,Depleted
3,5,10,43.0,28.56,Depleted
3,5,10,43.0,28.50,Depleted
3,5,10,42.0,28.50,Depleted
3,5,10,43.0,28.50,Depleted
3,5,10,42.0,28.50,Depleted
3,5,10,42.0,28.50,Depleted
3,5,10,43.0,28.50,Depleted
3,5,10,44.0,28.50,Depleted
3,5,10,42.0,28.44,Depleted
3,5,10,43.0,28.44,Depleted
3,5,10,43.0,28.44,Depleted
3,5,10,43.0,28.44,Depleted
3,5,10,42.0,28.44,Depleted
3,5,10,44.0,28.44,Depleted
3,5,10,42.0,28.44,Depleted
3,5,10,43.0,28.44,Depleted
3,5,10,41.0,28.37,Depleted
3,5,10,43.0,28.37,Depleted
3,5,10,42.0,28.37,Depleted
3,5,10,43.0,28.37,Depleted
322,451,903,100.0,27.62,Nutrient-Rich
320,449,898,100.0,27.62,Nutrient-Rich
325,455,911,100.0,27.62,Nutrient-Rich
327,458,916,100.0,27.56,Nutrient-Rich
322,451,902,100.0,27.56,Nutrient-Rich
321,450,900,100.0,27.56,Nutrient-Rich
321,450,901,100.0,27.56,Nutrient-Rich
322,451,903,100.0,27.56,Nutrient-Rich
324,454,909,100.0,27.56,Nutrient-Rich
325,455,910,100.0,27.56,Nutrient-Rich
324,453,907,99.0,27.56,Nutrient-Rich
328,459,918,96.0,27.56,Nutrient-Rich
330,463,926,98.0,27.56,Nutrient-Rich
328,459,918,100.0,27.56,Nutrient-Rich
329,460,921,100.0,27.50,Nutrient-Rich
333,467,934,99.0,27.56,Nutrient-Rich
331,464,928,100.0,27.50,Nutrient-Rich
331,464,928,77.0,27.56,Nutrient-Rich
333,467,934,100.0,27.50,Nutrient-Rich
330,463,926,100.0,27.50,Nutrient-Rich
329,461,922,100.0,27.50,Nutrient-Rich
334,468,937,99.0,27.50,Nutrient-Rich
337,472,945,99.0,27.50,Nutrient-Rich
336,470,941,100.0,27.50,Nutrient-Rich
336,471,943,100.0,27.50,Nutrient-Rich
333,467,934,99.0,27.50,Nutrient-Rich
339,475,950,100.0,27.50,Nutrient-Rich
336,471,942,100.0,27.50,Nutrient-Rich
340,476,952,99.0,27.50,Nutrient-Rich
339,475,950,96.0,27.50,Nutrient-Rich
340,476,952,100.0,27.50,Nutrient-Rich
334,467,935,100.0,27.50,Nutrient-Rich
338,473,946,100.0,27.50,Nutrient-Rich
337,472,945,100.0,27.50,Nutrient-Rich
337,472,944,100.0,27.50,Nutrient-Rich
343,480,960,100.0,27.50,Nutrient-Rich
192,269,538,97.0,28.62,Nutrient-Rich
194,271,543,95.0,28.62,Nutrient-Rich
193,271,542,93.0,28.62,Nutrient-Rich
192,269,538,92.0,28.62,Nutrient-Rich
190,266,532,93.0,28.62,Nutrient-Rich
190,266,533,92.0,28.62,Nutrient-Rich
189,264,529,92.0,28.62,Nutrient-Rich
189,265,530,92.0,28.56,Nutrient-Rich
188,264,528,93.0,28.56,Nutrient-Rich
189,265,531,92.0,28.56,Nutrient-Rich
188,263,527,95.0,28.56,Nutrient-Rich
187,261,523,92.0,28.56,Nutrient-Rich
188,263,526,92.0,28.56,Nutrient-Rich
186,261,522,91.0,28.56,Nutrient-Rich
189,264,529,90.0,28.56,Nutrient-Rich
188,264,528,92.0,28.56,Nutrient-Rich
186,260,521,91.0,28.56,Nutrient-Rich
187,261,523,92.0,28.56,Nutrient-Rich
186,260,521,92.0,28.50,Nutrient-Rich
184,258,516,92.0,28.50,Nutrient-Rich
185,259,518,92.0,28.50,Nutrient-Rich
183,257,514,90.0,28.50,Nutrient-Rich
184,257,515,91.0,28.50,Nutrient-Rich
184,257,515,90.0,28.50,Nutrient-Rich
182,255,511,92.0,28.50,Nutrient-Rich
183,257,514,92.0,28.44,Nutrient-Rich
183,257,514,93.0,28.50,Nutrient-Rich
182,255,510,92.0,28.44,Nutrient-Rich
183,257,514,92.0,28.44,Nutrient-Rich
184,258,516,92.0,28.44,Nutrient-Rich
181,254,509,80.0,28.50,Nutrient-Rich
182,255,511,81.0,28.50,Nutrient-Rich
183,257,514,82.0,28.56,Nutrient-Rich
184,258,516,83.0,28.50,Nutrient-Rich
185,259,518,84.0,28.50,Nutrient-Rich
186,260,521,85.0,28.56,Nutrient-Rich
187,261,523,80.0,28.56,Nutrient-Rich
188,263,526,81.0,28.56,Nutrient-Rich
189,264,529,82.0,28.56,Nutrient-Rich
190,266,532,83.0,28.62,Nutrient-Rich
191,267,535,84.0,28.62,Nutrient-Rich
192,269,538,85.0,28.62,Nutrient-Rich
193,270,540,80.0,28.62,Nutrient-Rich
194,271,543,81.0,28.62,Nutrient-Rich
195,273,546,82.0,28.56,Nutrient-Rich
196,274,548,83.0,28.56,Nutrient-Rich
197,276,551,84.0,28.56,Nutrient-Rich
198,277,554,85.0,28.56,Nutrient-Rich
199,279,557,80.0,28.50,Nutrient-Rich
200,280,560,81.0,28.50,Nutrient-Rich
201,281,562,82.0,28.50,Nutrient-Rich
202,283,565,83.0,28.50,Nutrient-Rich
203,284,568,84.0,28.44,Nutrient-Rich
204,286,571,85.0,28.44,Nutrient-Rich
205,287,573,80.0,28.44,Nutrient-Rich
206,288,576,81.0,28.44,Nutrient-Rich
207,290,579,82.0,28.50,Nutrient-Rich
208,291,582,83.0,28.50,Nutrient-Rich
209,293,585,84.0,28.50,Nutrient-Rich
210,294,588,85.0,28.50,Nutrient-Rich
